states,actions
"[0.08897088569736719, 0.006135923151542766, -0.012605327940897304, 0.00042671649143244395]",[-0.05277953943901621]
"[0.08897088569736719, 0.006135923151542766, -0.010084262352718198, 0.0003413731931516395]",[-0.04830816459945268]
"[0.0859029241215959, 0.006135923151542766, -0.16146548867073918, 0.00027309855451562726]",[0.0744340093653618]
"[0.0859029241215959, 0.006135923151542766, -0.12917239093659116, 0.00021847884360681746]",[0.36581757029528855]
"[0.0859029241215959, 0.006135923151542766, -0.10333791274927329, 0.00017478307486840094]",[0.486286116277294]
"[0.0859029241215959, 0.006135923151542766, -0.08267033019941827, 0.0001398264599004051]",[0.21200532197474015]
"[0.0859029241215959, 0.006135923151542766, -0.06613626415953444, 0.0001118611679089554]",[-0.09438993105637407]
"[0.0859029241215959, 0.006135923151542766, -0.052909011327627375, 8.948893434990168e-05]",[-0.14878355475013397]
"[0.0859029241215959, 0.003067961575771161, -0.04232720906210208, -0.15332648764112378]",[-0.4010343443494992]
"[0.0859029241215959, 0.003067961575771161, -0.033861767249681485, -0.12266119011292176]",[-0.9388001263947864]
"[0.0859029241215959, 0.003067961575771161, -0.02708941379974572, -0.09812895209034878]",[-1.1903098654786455]
"[0.0859029241215959, 0.003067961575771161, -0.021671531039796577, -0.07850316167227334]",[-0.6582946915919613]
"[0.0859029241215959, 0.003067961575771161, -0.017337224831837084, -0.06280252933783004]",[-0.04606223417231328]
"[0.0859029241215959, 0.006135923151542766, -0.013869779865469667, 0.10315605531832261]",[0.40343162201784916]
"[0.0859029241215959, 0.006135923151542766, -0.011095823892375734, 0.08252484425463535]",[0.8324666780564199]
"[0.0859029241215959, 0.006135923151542766, -0.00887665911390112, 0.06601987540369691]",[0.9694228496123808]
"[0.0859029241215959, 0.009203884727313927, -0.007101327291120896, 0.20621397911151007]",[0.7628930503566209]
"[0.0859029241215959, 0.009203884727313927, -0.005681061832896184, 0.1649711832891967]",[0.7785896370337654]
"[0.0859029241215959, 0.009203884727313927, -0.004544849466316947, 0.1319769466313403]",[0.9268956336497369]
"[0.0859029241215959, 0.009203884727313927, -0.0036358795730535576, 0.10558155730507224]",[0.5296810231164014]
"[0.0859029241215959, 0.009203884727313927, -0.0029087036584432013, 0.08446524584405779]",[0.009399862623560393]
"[0.0859029241215959, 0.006135923151542766, -0.0023269629267543834, -0.08582588211331199]",[-0.4496831959469604]
"[0.08283496254582462, 0.006135923151542766, -0.1552596491299676, -0.06866070569063254]",[-0.7928028717878364]
"[0.08283496254582462, 0.006135923151542766, -0.1242077193039739, -0.054928564552511716]",[-0.6488075655968845]
"[0.08283496254582462, 0.006135923151542766, -0.09936617544317983, -0.04394285164201506]",[0.0215553359628764]
"[0.08283496254582462, 0.006135923151542766, -0.07949294035454368, -0.03515428131359499]",[0.3299584863933794]
"[0.07976700097005335, 0.006135923151542766, -0.21699243107219868, -0.028123425050893047]",[0.2423217740245787]
"[0.07976700097005335, 0.006135923151542766, -0.17359394485775947, -0.02249874004070307]",[0.3215298696748726]
"[0.07976700097005335, 0.006135923151542766, -0.1388751558862067, -0.017998992032545402]",[0.42536774734892246]
"[0.07976700097005335, 0.006135923151542766, -0.11110012470896535, -0.01439919362604769]",[0.21913617073222258]
"[0.07976700097005335, 0.006135923151542766, -0.08888009976717193, -0.011519354900826784]",[-0.052908608012516976]
"[0.07976700097005335, 0.003067961575771161, -0.0711040798137379, -0.16261356270925376]",[-0.45175716974069136]
"[0.07669903939428206, 0.003067961575771161, -0.21028134263955423, -0.13009085016742006]",[-0.854058126821478]
"[0.07669903939428206, 0.003067961575771161, -0.16822507411164356, -0.10407268013392468]",[-0.7556557628354498]
"[0.07669903939428206, 0.003067961575771161, -0.13458005928931494, -0.08325814410716248]",[-0.08325802149590589]
"[0.07669903939428206, 0.003067961575771161, -0.10766404743145186, -0.06660651528574135]",[0.24221849086484426]
"[0.07669903939428206, 0.003067961575771161, -0.08613123794516175, -0.0532852122285874]",[0.03836656581017997]
"[0.07669903939428206, 0.006135923151542766, -0.06890499035612896, 0.11076990900571104]",[0.15591221518193776]
"[0.07669903939428206, 0.006135923151542766, -0.05512399228490317, 0.08861592720458589]",[0.7259195814009911]
"[0.07669903939428206, 0.006135923151542766, -0.04409919382792271, 0.07089274176365734]",[1.038318842262962]
"[0.07669903939428206, 0.006135923151542766, -0.035279355062337814, 0.056714193410954294]",[0.5202689581128903]
"[0.07669903939428206, 0.006135923151542766, -0.028223484049870518, 0.04537135472878617]",[-0.10776946772792965]
"[0.07669903939428206, 0.006135923151542766, -0.02257878723989659, 0.036297083783011885]",[-0.23420475148055753]
"[0.07669903939428206, 0.006135923151542766, -0.018063029791917096, 0.02903766702638677]",[-0.0714546237714889]
"[0.07669903939428206, 0.006135923151542766, -0.014450423833533677, 0.023230133621098048]",[0.040463282758309675]
"[0.07669903939428206, 0.006135923151542766, -0.011560339066827297, 0.01858410689689549]",[0.029302980748201084]
"[0.07669903939428206, 0.006135923151542766, -0.009248271253461837, 0.014867285517510709]",[-0.015182338903113763]
"[0.07669903939428206, 0.006135923151542766, -0.007398617002769559, 0.011893828414031304]",[-0.029853128465906983]
"[0.07363107781851078, 0.006135923151542766, -0.1593169723907799, 0.009515062731225044]",[0.10245895816344738]
"[0.07363107781851078, 0.006135923151542766, -0.12745357791262402, 0.007612050185002772]",[0.40465483827094123]
"[0.07363107781851078, 0.006135923151542766, -0.10196286233009921, 0.006089640147990849]",[0.5262505768740606]
"[0.07363107781851078, 0.006135923151542766, -0.08157028986407955, 0.004871712118386995]",[0.2485987072727625]
"[0.07363107781851078, 0.006135923151542766, -0.06525623189126328, 0.0038973696946982272]",[-0.05960919859215982]
"[0.07363107781851078, 0.006135923151542766, -0.05220498551301045, 0.003117895755764266]",[-0.11356382522826851]
"[0.07363107781851078, 0.006135923151542766, -0.041763988410408626, 0.002494316604611413]",[-0.030341552191214698]
"[0.07363107781851078, 0.006135923151542766, -0.033411190728326545, 0.001995453283683446]",[0.023103825739126053]
"[0.07363107781851078, 0.006135923151542766, -0.02672895258266106, 0.0015963626269410724]",[0.015815090439009246]
"[0.07056311624273949, 0.006135923151542766, -0.17478124085469338, 0.001277090101552858]",[0.11639597618416225]
"[0.07056311624273949, 0.006135923151542766, -0.1398249926837547, 0.001021672081236602]",[0.40267489400137063]
"[0.07056311624273949, 0.006135923151542766, -0.11185999414700376, 0.0008173376649551756]",[0.5288821157656678]
"[0.07056311624273949, 0.006135923151542766, -0.08948799531760265, 0.0006538701319982465]",[0.25881937075263795]
"[0.07056311624273949, 0.006135923151542766, -0.07159039625408203, 0.0005230961055815442]",[-0.04784892971505475]
"[0.07056311624273949, 0.006135923151542766, -0.05727231700326563, 0.0004184768844481823]",[-0.10385621442779204]
"[0.07056311624273949, 0.009203884727313927, -0.04581785360261259, 0.15373286029611677]",[0.3126039267876066]
"[0.07056311624273949, 0.009203884727313927, -0.03665428288208972, 0.12298628823688773]",[0.9572098906113495]
"[0.07056311624273949, 0.009203884727313927, -0.029323426305672307, 0.09838903058951587]",[1.1949154684605707]
"[0.07056311624273949, 0.009203884727313927, -0.023458741044537934, 0.07871122447161838]",[0.6191127010466692]
"[0.07056311624273949, 0.009203884727313927, -0.018766992835630436, 0.06296897957730607]",[-0.006558506433395575]
"[0.0674951546669682, 0.009203884727313927, -0.1684116730570686, 0.05037518366185623]",[0.011172657802765634]
"[0.0674951546669682, 0.009203884727313927, -0.13472933844565516, 0.04030014692949635]",[0.4750281451477047]
"[0.0674951546669682, 0.006135923151542766, -0.10778347075652395, -0.12115796124493272]",[0.36922658986211876]
"[0.0674951546669682, 0.006135923151542766, -0.08622677660521916, -0.09692636899595186]",[-0.5121744547769861]
"[0.06442719309119693, 0.006135923151542766, -0.22237950007273888, -0.07754109519675012]",[-0.9856544475223736]
"[0.06442719309119693, 0.006135923151542766, -0.17790360005819084, -0.06203287615738873]",[-0.2064474756248681]
"[0.06442719309119693, 0.006135923151542766, -0.14232288004655258, -0.04962630092592235]",[0.6265420471603742]
"[0.06442719309119693, 0.006135923151542766, -0.11385830403724206, -0.03970104074073788]",[0.5242339783285679]
"[0.06442719309119693, 0.006135923151542766, -0.09108664322979321, -0.03176083259259599]",[0.04403934159881697]
"[0.06442719309119693, 0.009203884727313927, -0.07286931458383439, 0.12798941271447006]",[0.1915436485316058]
"[0.06442719309119693, 0.009203884727313927, -0.05829545166706751, 0.102391530171559]",[0.8713190530129674]
"[0.06442719309119693, 0.009203884727313927, -0.04663636133365401, 0.08191322413725288]",[1.218887369141087]
"[0.06442719309119693, 0.009203884727313927, -0.03730908906692321, 0.06553057930977957]",[0.6765263416404461]
"[0.06442719309119693, 0.009203884727313927, -0.02984727125353892, 0.052424463447835024]",[0.025800323836725064]
"[0.06135923151542565, 0.009203884727313927, -0.17727589579139602, 0.0419395707582737]",[0.021148511990207064]
"[0.06135923151542565, 0.009203884727313927, -0.14182071663311646, 0.03355165660661896]",[0.4845341105169407]
"[0.06135923151542565, 0.009203884727313927, -0.11345657330649317, 0.026841325285289486]",[0.7211365336827644]
"[0.06135923151542565, 0.009203884727313927, -0.09076525864519436, 0.02147306022823159]",[0.43417275844018144]
"[0.05829126993965436, 0.009203884727313927, -0.22601028570471993, 0.017178448182590955]",[0.20380147228431145]
"[0.05829126993965436, 0.009203884727313927, -0.18080822856377576, 0.013742758546072764]",[0.4273159298878249]
"[0.05829126993965436, 0.009203884727313927, -0.1446465828510206, 0.01099420683686958]",[0.6411393696782108]
"[0.05829126993965436, 0.009203884727313927, -0.11571726628081658, 0.008795365469467242]",[0.429493800087231]
"[0.05522330836388308, 0.009203884727313927, -0.24597189181321744, 0.007036292375573794]",[0.23870303231111312]
"[0.05522330836388308, 0.006135923151542766, -0.1967775134505736, -0.1477690448880935]",[0.11736944714906766]
"[0.05522330836388308, 0.006135923151542766, -0.15742201076045914, -0.11821523591049754]",[-0.27817144530179194]
"[0.0521553467881118, 0.006135923151542766, -0.27933568739693104, -0.09457218872839235]",[-0.6156639086652025]
"[0.0521553467881118, 0.006135923151542766, -0.22346854991754528, -0.07565775098268546]",[-0.0774246341200786]
"[0.0521553467881118, 0.006135923151542766, -0.17877483993403587, -0.06052620078614268]",[0.5864633737972037]
"[0.0521553467881118, 0.006135923151542766, -0.14301987194722887, -0.048420960628902776]",[0.495835833774814]
"[0.04908738521234052, 0.006135923151542766, -0.2678139763463472, -0.038736768503099483]",[0.20278830843712237]
"[0.04908738521234052, 0.006135923151542766, -0.2142511810770782, -0.030989414802490955]",[0.3313664172523989]
"[0.04908738521234052, 0.006135923151542766, -0.17140094486166246, -0.02479153184199845]",[0.5278779626586396]
"[0.04908738521234052, 0.006135923151542766, -0.13712075588933015, -0.01983322547357602]",[0.3427536893770795]
"[0.04601942363656923, 0.006135923151542766, -0.26309468350002785, -0.015866580378883555]",[0.16922936736126537]
"[0.04601942363656923, 0.006135923151542766, -0.210475746800022, -0.012693264303095475]",[0.3803466077800782]
"[0.04601942363656923, 0.006135923151542766, -0.16838059744001788, -0.010154611442459327]",[0.5687698407111456]
"[0.04295146206079795, 0.006135923151542766, -0.2881025567405784, -0.008123689153961777]",[0.4735371783865857]
"[0.04295146206079795, 0.006135923151542766, -0.23048204539246298, -0.006498951323152369]",[0.4594510174555617]
"[0.04295146206079795, 0.006135923151542766, -0.1843856363139702, -0.005199161058527579]",[0.5058850050232936]
"[0.039883500485026674, 0.006135923151542766, -0.3009065878397399, -0.004159328846810695]",[0.4280858782795275]
"[0.039883500485026674, 0.003067961575771161, -0.2407252702717919, -0.15672554186605225]",[0.13662907170056424]
"[0.03681553890925539, 0.003067961575771161, -0.34597829500599797, -0.12538043349283612]",[-0.26759745992559747]
"[0.03681553890925539, 0.003067961575771161, -0.27678263600479847, -0.10030434679424616]",[-0.43249592765225175]
"[0.03681553890925539, 0.003067961575771161, -0.22142610880383895, -0.08024347743540261]",[-0.018889335304490495]
"[0.0337475773334841, 0.0, -0.33053896583163533, -0.21759286073685757]",[0.05615165349012183]
"[0.0337475773334841, 0.0, -0.26443117266530836, -0.1740742885895088]",[-0.3736434493962052]
"[0.030679615757712823, 0.0, -0.36494301692081055, -0.13925943087158998]",[-0.5480933484248716]
"[0.030679615757712823, 0.0, -0.2919544135366483, -0.11140754469727199]",[-0.004403044169942638]
"[0.02761165418194154, 0.0, -0.38696160961788295, -0.08912603575780054]",[0.6009182028088004]
"[0.02761165418194154, 0.0, -0.30956928769430636, -0.07130082860624043]",[0.705499660347552]
"[0.02761165418194154, 0.0, -0.247655430155445, -0.05704066288498666]",[0.43128811460394734]
"[0.02454369260617026, -0.003067961575771161, -0.35152242291292013, -0.19903060909655323]",[-0.17685870800598236]
"[0.02454369260617026, -0.003067961575771161, -0.28121793833033615, -0.1592244872772426]",[-0.6957337441055597]
"[0.02454369260617026, -0.003067961575771161, -0.22497435066426896, -0.12737958982177133]",[-0.7948123036142061]
"[0.021475731030398976, -0.003067961575771161, -0.3333775593199795, -0.10190367185740001]",[-0.3079942413796819]
"[0.021475731030398976, -0.003067961575771161, -0.2667020474559836, -0.08152293748591433]",[0.323393764179911]
"[0.018407769454627694, -0.006135923151542766, -0.36675971675335095, -0.2186164287773238]",[0.26873532355441393]
"[0.018407769454627694, -0.006135923151542766, -0.29340777340268054, -0.17489314302184766]",[-0.40526215981104297]
"[0.018407769454627694, -0.006135923151542766, -0.2347262187221446, -0.1399145144174554]",[-0.8900164413566951]
"[0.015339807878856412, -0.006135923151542766, -0.34117905376627966, -0.11193161153394726]",[-0.5292375297619516]
"[0.015339807878856412, -0.006135923151542766, -0.27294324301302375, -0.08954528922717486]",[0.18333562978651036]
"[0.015339807878856412, -0.006135923151542766, -0.21835459441041905, -0.07163623138174557]",[0.41898901519802045]
"[0.015339807878856412, -0.006135923151542766, -0.1746836755283353, -0.05730898510540783]",[0.04694607082952951]
"[0.015339807878856412, -0.006135923151542766, -0.13974694042266822, -0.04584718808430921]",[-0.34075312004725844]
"[0.015339807878856412, -0.006135923151542766, -0.11179755233813449, -0.03667775046744737]",[-0.3943592745963787]
"[0.015339807878856412, -0.006135923151542766, -0.08943804187050763, -0.029342200373946525]",[-0.28272141150614366]
"[0.015339807878856412, -0.006135923151542766, -0.07155043349640611, -0.02347376029916859]",[-0.21749552414529877]
"[0.015339807878856412, -0.003067961575771161, -0.057240346797124864, 0.13461907054923472]",[0.10469510262964887]
"[0.015339807878856412, -0.003067961575771161, -0.04579227743769987, 0.10769525643937072]",[0.6672997816282341]
"[0.015339807878856412, -0.003067961575771161, -0.03663382195015996, 0.08615620515149658]",[0.904257647626315]
"[0.015339807878856412, -0.003067961575771161, -0.02930705756012797, 0.06892496412120863]",[0.3573032373977206]
"[0.01227184630308513, -0.003067961575771161, -0.17684372483666655, 0.055139971296966905]",[-0.13337097641865797]
"[0.01227184630308513, -0.003067961575771161, -0.14147497986933322, 0.044111977037573524]",[0.04956677568034801]
"[0.01227184630308513, -0.003067961575771161, -0.11317998389546657, 0.035289581630053135]",[0.33512334605010785]
"[0.01227184630308513, -0.003067961575771161, -0.09054398711637324, 0.028231665304048192]",[0.16734543978303407]
"[0.01227184630308513, -0.003067961575771161, -0.0724351896930987, 0.022585332243238554]",[-0.15330922019189738]
"[0.009203884727313847, -0.003067961575771161, -0.21134623054304302, 0.018068265794568106]",[-0.12891586733205707]
"[0.009203884727313847, -0.006135923151542766, -0.16907698443443442, -0.13894346615293784]",[-0.10154093647948914]
"[0.009203884727313847, -0.006135923151542766, -0.13526158754754758, -0.11115477292233322]",[-0.5081400328119697]
"[0.009203884727313847, -0.006135923151542766, -0.10820927003803804, -0.0889238183378609]",[-1.0252704177152527]
"[0.009203884727313847, -0.006135923151542766, -0.0865674160304305, -0.07113905467031145]",[-0.7998257789139263]
"[0.006135923151542565, -0.006135923151542766, -0.22265201161290843, -0.05691124373623779]",[-0.12249296448873646]
"[0.006135923151542565, -0.006135923151542766, -0.17812160929032672, -0.04552899498901297]",[0.3664247776722138]
"[0.009203884727313847, -0.006135923151542766, 0.01090079135630273, -0.03642319599120469]",[0.25679346935244546]
"[0.009203884727313847, -0.006135923151542766, 0.008720633085042118, -0.02913855679295807]",[-0.4245421577922373]
"[0.009203884727313847, -0.003067961575771161, 0.006976506468033772, 0.13008723335420314]",[-0.526876784323987]
"[0.009203884727313847, -0.003067961575771161, 0.005581205174426951, 0.10406978668336819]",[0.3209362036613743]
"[0.009203884727313847, -0.003067961575771161, 0.004464964139541561, 0.08325582934668319]",[0.9732190473201474]
"[0.009203884727313847, -0.003067961575771161, 0.003571971311633282, 0.0666046634773636]",[0.5218102756701374]
"[0.009203884727313847, -0.003067961575771161, 0.0028575770493066144, 0.0532837307818852]",[-0.19547900391602752]
"[0.009203884727313847, -0.003067961575771161, 0.002286061639445336, 0.04262698462548542]",[-0.38240734904641255]
"[0.009203884727313847, -0.003067961575771161, 0.0018288493115562465, 0.03410158770040539]",[-0.21317970316941212]
"[0.009203884727313847, -0.003067961575771161, 0.0014630794492450083, 0.027281270160329996]",[-0.07703209724859414]
"[0.009203884727313847, -0.003067961575771161, 0.00117046355939604, 0.021825016128275365]",[-0.0803437603197158]
"[0.009203884727313847, -0.003067961575771161, 0.0009363708475167987, 0.01746001290263166]",[-0.13015363453546774]
"[0.009203884727313847, -0.003067961575771161, 0.0007490966780134833, 0.013968010322088276]",[-0.14984436190695924]
"[0.009203884727313847, -0.003067961575771161, 0.0005992773424107756, 0.011174408257659252]",[-0.14038792534673272]
"[0.009203884727313847, -0.003067961575771161, 0.00047942187392857605, 0.008939526606127401]",[-0.12942815142769104]
"[0.009203884727313847, -0.003067961575771161, 0.00038353749914288304, 0.0071516212848905525]",[-0.12819886178229226]
"[0.009203884727313847, -0.003067961575771161, 0.0003068299993142509, 0.005721297027918126]",[-0.13157958543245954]
"[0.009203884727313847, -0.003067961575771161, 0.00024546399945141184, 0.004577037622311764]",[-0.13343256959380717]
"[0.009203884727313847, -0.003067961575771161, 0.00019637119956111837, 0.0036616300978380423]",[-0.13300703608283818]
"[0.009203884727313847, -0.003067961575771161, 0.0001570969596489391, 0.0029293040782647495]",[-0.13217016157380748]
"[0.009203884727313847, -0.003067961575771161, 0.00012567756771914018, 0.002343443262589062]",[-0.13197088610427474]
"[0.009203884727313847, -0.003067961575771161, 0.00010054205417536766, 0.0018747546100996715]",[-0.13218488269624598]
"[0.009203884727313847, -0.003067961575771161, 8.043364334026082e-05, 0.0014998036880911059]",[-0.13234534829132377]
"[0.009203884727313847, -0.003067961575771161, 6.434691467221976e-05, 0.0011998429504842534]",[-0.13233649588644736]
"[0.009203884727313847, -0.003067961575771161, 5.147753173778691e-05, 0.000959874360376034]",[-0.13227575102659325]
"[0.009203884727313847, -0.003067961575771161, 4.1182025390218424e-05, 0.0007678994882951429]",[-0.13225345423109336]
"[0.009203884727313847, -0.003067961575771161, 3.294562031214143e-05, 0.0006143195906531673]",[-0.13226570664638754]
"[0.009203884727313847, -0.003067961575771161, 2.6356496249713146e-05, 0.0004914556725168495]",[-0.13227876396885038]
"[0.01227184630308513, -0.003067961575771161, 0.15341916398556388, 0.0003931645379964266]",[-0.25492550139821335]
"[0.01227184630308513, -0.003067961575771161, 0.12273533118845109, 0.00031453163038008825]",[-0.5478537841578729]
"[0.01227184630308513, -0.003067961575771161, 0.09818826495076094, 0.0002516253043154393]",[-0.6690032691185623]
"[0.01227184630308513, -0.003067961575771161, 0.07855061196060864, 0.00020130024344666708]",[-0.3944586239146098]
"[0.01227184630308513, -0.003067961575771161, 0.06284048956848698, 0.00016104019474028064]",[-0.08771081777870751]
"[0.01227184630308513, -0.003067961575771161, 0.05027239165478958, 0.00012883215580927754]",[-0.033263310021432076]
"[0.01227184630308513, -0.003067961575771161, 0.04021791332383162, 0.000103065724630369]",[-0.11576014909267131]
"[0.01227184630308513, 0.0, 0.032174330659065276, 0.15348053136824547]",[0.1655680168856071]
"[0.01227184630308513, 0.0, 0.025739464527252176, 0.12278442509460774]",[0.7636731014159205]
"[0.015339807878856412, 0.0, 0.17398965041036574, 0.09822754007566914]",[0.9073964922386722]
"[0.015339807878856412, 0.0, 0.13919172032829263, 0.07858203206055236]",[0.06721287642174145]
"[0.015339807878856412, 0.0, 0.11135337626263397, 0.06286562564841347]",[-0.677836552053058]
"[0.015339807878856412, 0.0, 0.08908270101010718, 0.05029250051873646]",[-0.5176111237553915]
"[0.015339807878856412, 0.0, 0.07126616080808568, 0.040234000415011906]",[-0.044509049436066074]
"[0.015339807878856412, 0.0, 0.057012928646468564, 0.03218720033200384]",[0.11905940583132017]
"[0.015339807878856412, -0.003067961575771161, 0.045610342917174806, -0.12764831852294378]",[-0.3116952165142331]
"[0.015339807878856412, -0.003067961575771161, 0.03648827433373991, -0.10211865481835503]",[-1.0005506812824647]
"[0.015339807878856412, -0.003067961575771161, 0.029190619466991974, -0.08169492385468402]",[-1.2517142406148087]
"[0.015339807878856412, -0.003067961575771161, 0.023352495573593535, -0.06535593908375859]",[-0.665820838870409]
"[0.015339807878856412, -0.003067961575771161, 0.018681996458874806, -0.05228475126702392]",[-0.031139630662011933]
"[0.018407769454627694, 0.0, 0.16834367595566402, 0.11157027777497319]",[0.2859612810895082]
"[0.018407769454627694, 0.0, 0.13467494076453124, 0.08925622221994445]",[0.410001934080584]
"[0.018407769454627694, 0.0, 0.10773995261162495, 0.07140497777595556]",[0.42421892868215527]
"[0.021475731030398976, 0.0, 0.23959004087786406, 0.057123982220787184]",[0.03856628088370567]
"[0.021475731030398976, 0.0, 0.19167203270229127, 0.045699185776612694]",[-0.5208595233861973]
"[0.021475731030398976, 0.003067961575771161, 0.153337626161833, 0.189957427409837]",[-0.3494636937234138]
"[0.021475731030398976, 0.003067961575771161, 0.12267010092946629, 0.1519659419278696]",[0.5893983834290439]
"[0.02454369260617026, 0.003067961575771161, 0.2515341595321373, 0.12157275354229569]",[1.0630000526043344]
"[0.02454369260617026, 0.003067961575771161, 0.20122732762570994, 0.09725820283384223]",[0.26331977433174336]
"[0.02454369260617026, 0.003067961575771161, 0.16098186210056786, 0.07780656226705673]",[-0.5783041947757676]
"[0.02454369260617026, 0.003067961575771161, 0.12878548968045433, 0.062245249813656756]",[-0.4723380527508246]
"[0.02454369260617026, 0.003067961575771161, 0.10302839174436351, 0.04979619985093109]",[0.012457479129282807]
"[0.02454369260617026, 0.003067961575771161, 0.0824227133954909, 0.03983695988074487]",[0.20022485644373822]
"[0.02454369260617026, 0.0, 0.06593817071639263, -0.1215285108839339]",[-0.22454796426433096]
"[0.02454369260617026, 0.0, 0.052750536573114015, -0.09722280870713007]",[-0.9194989732820495]
"[0.02454369260617026, 0.0, 0.042200429258491434, -0.07777824696569269]",[-1.1753418417971364]
"[0.02454369260617026, 0.0, 0.033760343406793014, -0.06222259757254278]",[-0.5892417464205342]
"[0.02761165418194154, 0.0, 0.18040635351399836, -0.04977807805801149]",[-0.07545633992922222]
"[0.02761165418194154, 0.0, 0.1443250828111986, -0.03982246244643761]",[-0.26262769150000786]
"[0.02761165418194154, 0.0, 0.11546006624895888, -0.031857969957115984]",[-0.5581722749063209]
"[0.02761165418194154, 0.0, 0.09236805299916706, -0.025486375965726893]",[-0.3930730808200745]
"[0.02761165418194154, 0.003067961575771161, 0.07389444239933352, 0.13300897801596534]",[0.26465467699875533]
"[0.030679615757712823, 0.003067961575771161, 0.21251363270803103, 0.10640718241276659]",[0.8332508484689893]
"[0.030679615757712823, 0.003067961575771161, 0.17001090616642478, 0.08512574593021327]",[0.7156281883524149]
"[0.030679615757712823, 0.003067961575771161, 0.13600872493313965, 0.06810059674418767]",[-0.023431271175780366]
"[0.030679615757712823, 0.003067961575771161, 0.10880697994651167, 0.05448047739531603]",[-0.3699187957364173]
"[0.0337475773334841, 0.003067961575771161, 0.24044366274577333, 0.04358438191624714]",[-0.273805901943813]
"[0.0337475773334841, 0.003067961575771161, 0.19235493019661853, 0.034867505533014764]",[-0.33592513278526376]
"[0.0337475773334841, 0.003067961575771161, 0.153883944157295, 0.027894004426400443]",[-0.4356178137326644]
"[0.0337475773334841, 0.003067961575771161, 0.12310715532583605, 0.02231520354112604]",[-0.23372413784506088]
"[0.0337475773334841, 0.0, 0.09848572426066893, -0.13554591595564602]",[-0.2996145901024709]
"[0.0337475773334841, 0.0, 0.07878857940853501, -0.10843673276451682]",[-0.8262675133403222]
"[0.0337475773334841, 0.0, 0.06303086352682796, -0.08674938621160777]",[-1.135538569939939]
"[0.0337475773334841, 0.0, 0.05042469082146228, -0.06939950896929759]",[-0.6310612572244741]
"[0.0337475773334841, 0.0, 0.040339752657169825, -0.0555196071754267]",[-0.009736170355602397]
"[0.03681553890925539, 0.0, 0.18566988091430026, -0.044415685740375466]",[-0.0039208771824084665]
"[0.03681553890925539, 0.0, 0.1485359047314403, -0.03553254859227195]",[-0.45636668370024425]
"[0.03681553890925539, 0.0, 0.11882872378515219, -0.02842603887381756]",[-0.6888001481024837]
"[0.03681553890925539, 0.003067961575771161, 0.09506297902812189, 0.1306572476894985]",[-0.06933375823794419]
"[0.039883500485026674, 0.003067961575771161, 0.22944846201106173, 0.10452579815159879]",[0.7496787027862062]
"[0.039883500485026674, 0.003067961575771161, 0.18355876960884943, 0.08362063852126767]",[0.7703646324518891]
"[0.039883500485026674, 0.003067961575771161, 0.14684701568707959, 0.06689651081700276]",[0.0033661388798629233]
"[0.039883500485026674, 0.003067961575771161, 0.11747761254966371, 0.05351720865360221]",[-0.403487955173063]
"[0.039883500485026674, 0.003067961575771161, 0.09398209003973101, 0.042813766922904506]",[-0.20000475416278662]
"[0.04295146206079795, 0.003067961575771161, 0.22858375082034854, 0.034251013538323605]",[-0.07676573579775794]
"[0.04295146206079795, 0.003067961575771161, 0.1828670006562787, 0.02740081083064183]",[-0.3364949534352536]
"[0.04295146206079795, 0.0, 0.14629360052502305, -0.13147743012405044]",[-0.8653806273711799]
"[0.04295146206079795, 0.0, 0.11703488042001853, -0.10518194409922899]",[-1.2242078048865517]
"[0.04295146206079795, 0.0, 0.09362790433601464, -0.0841455552793775]",[-1.1536444648935429]
"[0.04295146206079795, 0.0, 0.07490232346881198, -0.06731644422347927]",[-0.5267634232213037]
"[0.04295146206079795, 0.0, 0.05992185877504941, -0.0538531553787891]",[0.014456952955599359]
"[0.04601942363656923, 0.0, 0.2013355658086038, -0.043082524303002856]",[-0.056212119843059044]
"[0.04601942363656923, 0.003067961575771161, 0.1610684526468833, 0.11893205934612183]",[-0.177484796249826]
"[0.04601942363656923, 0.003067961575771161, 0.12885476211750646, 0.09514564747686904]",[0.20684845578675615]
"[0.04908738521234052, 0.003067961575771161, 0.2564818884825697, 0.07611651798151797]",[0.6254801274983484]
"[0.04908738521234052, 0.003067961575771161, 0.2051855107860554, 0.06089321438523143]",[0.12514686765366712]
"[0.04908738521234052, 0.003067961575771161, 0.1641484086288445, 0.04871457150815672]",[-0.5517146788497215]
"[0.04908738521234052, 0.003067961575771161, 0.13131872690307533, 0.038971657206559485]",[-0.4799963439163145]
"[0.0521553467881118, 0.003067961575771161, 0.2584530603110249, 0.031177325765241903]",[-0.19025790362250886]
"[0.0521553467881118, 0.003067961575771161, 0.20676244824881973, 0.02494186061221626]",[-0.3135008669875173]
"[0.0521553467881118, 0.003067961575771161, 0.16540995859905605, 0.01995348848976164]",[-0.5066015570103711]
"[0.0521553467881118, 0.003067961575771161, 0.1323279668792452, 0.015962790791803627]",[-0.3219449873743516]
"[0.0521553467881118, 0.003067961575771161, 0.10586237350339589, 0.012770232633442902]",[-0.027183320165129227]
"[0.05522330836388308, 0.003067961575771161, 0.23808797759128053, 0.010216186106731584]",[-0.06843734880511404]
"[0.05522330836388308, 0.003067961575771161, 0.19047038207302425, 0.008172948885373899]",[-0.42831827836859143]
