states,actions
"[0.13192234775816514, 0.018407769454627854, 1.5703922418991008, 0.8301326574901395]",[0.3171624225548477]
"[0.1380582709097077, 0.021475731030399015, 1.5631099510964086, 0.8175042047806755]",[0.3561124721999387]
"[0.14112623248547898, 0.021475731030399015, 1.4038860396656903, 0.6540033638245291]",[0.21159108870316912]
"[0.14726215563702155, 0.024543692606170175, 1.4299049893096818, 0.6766007698481644]",[0.009735612335592059]
"[0.15339807878856412, 0.027611654181941336, 1.4507201490248738, 0.6946786946670898]",[-0.015411321150344603]
"[0.1564660403643354, 0.027611654181941336, 1.313974198008462, 0.5557429557336775]",[0.14068043597815927]
"[0.16260196351587797, 0.03067961575771294, 1.3579755159838989, 0.5979924433755173]",[0.2388301767878096]
"[0.16566992509164924, 0.0337475773334841, 1.2397784915756809, 0.6317920334889777]",[0.37910082328234873]
"[0.1718058482431918, 0.0337475773334841, 1.2986189508376729, 0.5054336267911879]",[0.6205544949574506]
"[0.17487380981896308, 0.03681553890925526, 1.192293239458702, 0.5577449802214858]",[0.6193957335868805]
"[0.18100973297050565, 0.03681553890925526, 1.2606307491440898, 0.4461959841771943]",[0.20887758262792233]
"[0.18407769454627693, 0.03988350048502687, 1.1619026781038357, 0.5103548661303705]",[0.1343472238757244]
"[0.18714565612204823, 0.03988350048502687, 1.0829202212716336, 0.4082838929043078]",[0.30047573907075786]
"[0.1902136176978195, 0.04295146206079803, 1.0197342558058704, 0.48002519311197034]",[0.7751886154619781]
"[0.19634954084936207, 0.04295146206079803, 1.1225835622218252, 0.3840201544896047]",[0.8921537265727509]
"[0.19941750242513334, 0.04295146206079803, 1.0514649285660234, 0.3072161235917008]",[0.35467775256891987]
"[0.20248546400090464, 0.04601942363656919, 0.9945700216413851, 0.39917097766192455]",[-0.11898617188574556]
"[0.20248546400090464, 0.04601942363656919, 0.7956560173131066, 0.31933678212953964]",[0.3527999161274157]
"[0.2055534255766759, 0.04601942363656919, 0.7899228926390478, 0.2554694257036374]",[1.1678001154553574]
"[0.2086213871524472, 0.04601942363656919, 0.7853363928998043, 0.2043755405629213]",[0.9447244361235816]
"[0.21168934872821848, 0.04601942363656919, 0.7816671931084045, 0.1635004324503484]",[0.03452666590328475]
"[0.21168934872821848, 0.04601942363656919, 0.625333754486725, 0.13080034596026735]",[-0.34900124019517903]
"[0.21475731030398976, 0.04601942363656919, 0.6536650823779429, 0.1046402767682082]",[0.01601652813383877]
"[0.21782527187976106, 0.04601942363656919, 0.6763301446909189, 0.08371222141460066]",[0.33395263823758264]
"[0.21782527187976106, 0.04601942363656919, 0.541064115752734, 0.06696977713170327]",[0.22966228406560457]
"[0.22089323345553233, 0.04601942363656919, 0.5862493713907515, 0.053575821705351245]",[0.15730307438556593]
"[0.22089323345553233, 0.04601942363656919, 0.46899949711260014, 0.0428606573643151]",[0.2967748521307929]
"[0.22089323345553233, 0.04601942363656919, 0.3751995976900808, 0.034288525891469135]",[0.5118043336189252]
"[0.2239611950313036, 0.04601942363656919, 0.45355775694063105, 0.02743082071316394]",[0.6782097819416383]
"[0.2239611950313036, 0.04601942363656919, 0.36284620555250413, 0.021944656570525467]",[0.5829458223805196]
"[0.2239611950313036, 0.04601942363656919, 0.290276964442004, 0.01755572525641469]",[0.46608402739602994]
