states,actions
"[0.4724660826687775, 0.09510680884890954, -1.961276094423706, -1.6296793945386128]",[-0.2370163941942396]
"[0.4663301595172349, 0.09203884727313838, -1.8758170331160962, -1.4571415944194541]",[0.5691802892627367]
"[0.45712627478992107, 0.08590292412159606, -1.9608478628585715, -1.4725094331126911]",[1.0601010489630376]
"[0.4479223900626072, 0.07976700097005329, -2.0288725266525454, -1.4848037040673034]",[0.912090161391296]
"[0.44178646691106466, 0.07669903939428213, -1.9298941788991648, -1.341241042042384]",[0.49543312647440185]
"[0.4325825821837508, 0.07056311624273937, -2.004109579485025, -1.3797889912110293]",[0.2602457864928094]
"[0.42337869745643697, 0.0674951546669682, -2.063481899953711, -1.2572292717573816]",[0.5223786804975386]
"[0.4172427743048944, 0.06135923151542544, -1.9575816775400945, -1.3125795749830615]",[0.6430978041009383]
"[0.40803888957758055, 0.05829126993965428, -2.02625957839777, -1.2034617387750188]",[0.4854531481363993]
"[0.3988350048502667, 0.052155346788111956, -2.081201899083908, -1.2695655485971145]",[0.14298470852491807]
"[0.38963112012295287, 0.04908738521234035, -2.125155755632818, -1.1690505176662782]",[0.25136621190444774]
"[0.38349519697141027, 0.04295146206079803, -2.0069207620833858, -1.2420365717101447]",[0.22899818779057757]
"[0.37429131224409645, 0.03988350048502687, -2.065730846032398, -1.1470273361566683]",[-0.06609273272203486]
"[0.3650874275167826, 0.0337475773334841, -2.1127789131916117, -1.2244180265024909]",[-0.4362041988718257]
"[0.35588354278946877, 0.03067961575771294, -2.1504173669189797, -1.1329324999905168]",[-0.2938617273553952]
"[0.34974761963792617, 0.027611654181941336, -2.0271300511123123, -1.0597440787810228]",[0.041940405799914426]
"[0.34054373491061235, 0.024543692606170175, -2.08189827725554, -1.001193341813348]",[0.33556901617539614]
"[0.3313398501832985, 0.021475731030399015, -2.125712858170129, -0.9543527522392594]",[0.5351990227804584]
"[0.32520392703175593, 0.015339807878856249, -2.0073664441132273, -1.0702783593685297]",[0.25425312572038905]
"[0.31600004230444206, 0.012271846303085088, -2.066087391656275, -1.0096207662834047]",[-0.5436902404709989]
"[0.3098641191528995, 0.009203884727313927, -1.9596660709021467, -0.9610946918152479]",[-1.1071903347901273]
"[0.30066023442558565, 0.006135923151542766, -2.0279270930874116, -0.9222738322407622]",[-0.7032268966182746]
"[0.2945243112740431, 0.003067961575771161, -1.9291378320470578, -0.8912171445811907]",[-0.12251296109893461]
"[0.28532042654672923, 0.0, -2.0035045020033397, -0.8663717944534994]",[-0.045493728061137606]
"[0.2791845033951867, 0.0, -1.9095997591797982, -0.6930974355628052]",[0.03686610419005065]
"[0.27304858024364415, -0.003067961575771161, -1.8344759649209639, -0.7078760272387967]",[0.30373617281062915]
"[0.26691265709210155, -0.006135923151542766, -1.7743769295139025, -0.7196989005796581]",[0.1751209766322006]
"[0.25770877236478773, -0.009203884727313927, -1.8796957799768101, -0.7291571992522563]",[-0.5314936213488988]
"[0.25157284921324513, -0.009203884727313927, -1.8105527815585791, -0.5833257594018164]",[-0.611505691892511]
"[0.2454369260617026, -0.012271846303085088, -1.7552383828239915, -0.6200586863100455]",[-0.03410865454053558]
"[0.23930100291016002, -0.015339807878856249, -1.7109868638363217, -0.6494450278365491]",[0.04089484624015638]
"[0.23316507975861744, -0.015339807878856249, -1.6755856486461855, -0.5195560222692279]",[-0.4763008702319007]
"[0.2270291566070749, -0.018407769454627854, -1.6472646764940766, -0.5690428966039747]",[-0.6743061991893653]
"[0.21782527187976106, -0.018407769454627854, -1.7780059775609534, -0.45523431728321384]",[-0.13337616671726282]
"[0.21475731030398976, -0.021475731030399015, -1.575802860837328, -0.5175855326151009]",[0.19717916648786882]
"[0.2086213871524472, -0.021475731030399015, -1.5674384462469888, -0.4140684260920864]",[0.011226960378747153]
